,Unnamed: 0,game_id,home_name,away_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,home_ERA,home_ER,home_R,home_SO,home_BB,home_SO/BB,home_WHIP,away_ERA,away_ER,away_R,away_SO,away_BB,away_SO/BB,away_WHIP,home_OBP,home_SLG,home_HR,home_R/G,home_BB_batting,home_SO_batting,home_IBB,away_home_OBP,away_home_SLG,away_home_HR,away_home_R/G,away_home_BB_batting,away_home_SO_batting,away_home_IBB,temp,condition,wind
0,0,748266,San Diego Padres,Los Angeles Dodgers,Joe Musgrove,Gavin Stone,14,1,3.88,43.0,44.0,101.0,23.0,4.39,1.174,3.53,55.0,55.0,116.0,37.0,3.14,1.211,0.324,0.42,190.0,4.69,458.0,1077.0,18.0,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,71.0,Sunny,"3 mph, L To R"
1,1,748344,Boston Red Sox,Northeastern Huskies,Helcris Olivárez,Aiven Cabral,2,7,,,,,,,,,,,,,,,0.319,0.423,194.0,4.64,493.0,1570.0,30.0,,,,,,,,75.0,Partly Cloudy,"16 mph, R To L"
2,2,748263,Texas Rangers,Kansas City Royals,Dane Dunning,Daniel Lynch IV,4,5,5.31,56.0,60.0,91.0,40.0,2.28,1.442,3.32,16.0,17.0,39.0,14.0,2.79,0.992,0.305,0.38,176.0,4.22,490.0,1284.0,20.0,0.306,0.403,170.0,4.54,429.0,1161.0,22.0,76.0,Partly Cloudy,"9 mph, In From RF"
3,3,748341,Chicago Cubs,Chicago White Sox,Jordan Wicks,Jesse Chavez,1,8,5.48,28.0,31.0,42.0,20.0,2.1,1.63,3.13,22.0,27.0,55.0,19.0,2.89,1.247,0.317,0.393,170.0,4.54,546.0,1362.0,19.0,0.278,0.34,133.0,3.13,395.0,1403.0,8.0,75.0,Cloudy,"6 mph, Out To LF"
4,4,748260,Los Angeles Dodgers,San Diego Padres,Landon Knack,Jhony Brito,1,4,3.65,28.0,28.0,69.0,18.0,3.83,1.101,4.12,20.0,23.0,29.0,10.0,2.9,1.351,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,0.324,0.42,190.0,4.69,458.0,1077.0,18.0,76.0,Cloudy,"5 mph, Varies"
5,5,748264,Colorado Rockies,Arizona Diamondbacks,Carson Palmquist,Tommy Henry,0,3,,,,,,,,7.04,30.0,31.0,30.0,18.0,1.67,1.748,0.304,0.4,179.0,4.21,453.0,1617.0,20.0,0.337,0.44,211.0,5.47,569.0,1265.0,17.0,75.0,Overcast,"1 mph, Calm"
6,6,748265,Minnesota Twins,Minnesota Golden Gophers,Chris Paddack,Nick Argento,2,13,4.99,49.0,50.0,79.0,21.0,3.76,1.392,,,,,,,,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,,,,,,,,72.0,Partly Cloudy,"15 mph, L To R"
7,7,748262,Baltimore Orioles,Boston Red Sox,Corbin Burnes,Garrett Whitlock,3,4,2.92,63.0,76.0,181.0,48.0,3.77,1.096,1.96,4.0,4.0,17.0,7.0,2.43,1.145,0.315,0.435,235.0,4.85,489.0,1359.0,14.0,0.319,0.423,194.0,4.64,493.0,1570.0,30.0,72.0,Sunny,"11 mph, R To L"
8,8,748258,Minnesota Twins,Pittsburgh Pirates,Louis Varland,Bailey Falter,3,5,7.61,42.0,44.0,49.0,16.0,3.06,1.691,4.43,70.0,72.0,97.0,45.0,2.16,1.286,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,0.301,0.371,160.0,4.1,485.0,1506.0,14.0,74.0,Partly Cloudy,"18 mph, L To R"
9,9,748256,Tampa Bay Rays,Atlanta Braves,Nathan Wiles,Spencer Strider,6,5,,,,,,,,7.0,7.0,7.0,12.0,5.0,2.4,1.667,0.302,0.366,147.0,3.73,493.0,1485.0,15.0,0.309,0.415,213.0,4.35,485.0,1461.0,11.0,73.0,Sunny,"10 mph, L To R"
10,10,748255,St. Louis Cardinals,Miami Marlins,Matthew Liberatore,Ryan Weathers,9,8,4.4,42.0,44.0,76.0,28.0,2.71,1.267,3.63,35.0,39.0,80.0,24.0,3.33,1.177,0.312,0.392,165.0,4.15,478.0,1318.0,10.0,0.3,0.378,150.0,3.93,403.0,1410.0,16.0,73.0,Partly Cloudy,"12 mph, L To R"
11,11,748254,Detroit Tigers,New York Yankees,Reese Olson,Luis Gil,22,10,3.53,44.0,51.0,101.0,33.0,3.06,1.184,3.5,59.0,60.0,171.0,77.0,2.22,1.193,0.3,0.385,162.0,4.21,476.0,1461.0,12.0,0.333,0.429,237.0,5.03,672.0,1326.0,26.0,72.0,Sunny,"11 mph, L To R"
12,12,748257,Toronto Blue Jays,Philadelphia Phillies,Chad Dallas,Kolby Allard,14,13,,,,,,,,5.0,15.0,15.0,23.0,8.0,2.88,1.556,0.313,0.389,156.0,4.14,510.0,1233.0,18.0,0.325,0.425,198.0,4.84,515.0,1370.0,21.0,68.0,Sunny,"9 mph, Out To LF"
13,13,748259,New York Mets,St. Louis Cardinals,Tylor Megill,Zack Thompson,10,5,4.04,35.0,39.0,91.0,32.0,2.84,1.308,9.53,18.0,18.0,20.0,8.0,2.5,1.882,0.319,0.415,207.0,4.74,514.0,1382.0,11.0,0.312,0.392,165.0,4.15,478.0,1318.0,10.0,71.0,Sunny,"10 mph, L To R"
14,14,748252,Cleveland Guardians,Cincinnati Reds,Carlos Carrasco,Carson Spiers,4,0,5.64,65.0,68.0,89.0,33.0,2.7,1.399,5.46,55.0,59.0,80.0,27.0,2.96,1.533,0.307,0.395,185.0,4.4,466.0,1196.0,30.0,0.305,0.388,174.0,4.31,496.0,1459.0,7.0,74.0,Partly Cloudy,"4 mph, In From RF"
15,15,748251,Oakland Athletics,Colorado Rockies,Joe Boyle,Peter Lambert,5,1,6.42,34.0,35.0,56.0,40.0,1.4,1.72,5.72,39.0,42.0,50.0,29.0,1.72,1.663,0.301,0.393,196.0,3.97,493.0,1502.0,11.0,0.304,0.4,179.0,4.21,453.0,1617.0,20.0,76.0,Sunny,"4 mph, In From LF"
16,16,748253,San Francisco Giants,Chicago Cubs,Logan Webb,Drew Smyly,8,4,3.47,79.0,83.0,172.0,50.0,3.44,1.231,3.84,25.0,29.0,56.0,25.0,2.24,1.398,0.305,0.396,177.0,4.28,492.0,1452.0,15.0,0.317,0.393,170.0,4.54,546.0,1362.0,19.0,73.0,Partly Cloudy,"5 mph, In From LF"
