,game_id,home_name,away_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,home_ERA,home_ER,home_R,home_SO,home_BB,home_SO/BB,home_WHIP,away_ERA,away_ER,away_R,away_SO,away_BB,away_SO/BB,away_WHIP,home_OBP,home_SLG,home_HR,home_R/G,home_BB_batting,home_SO_batting,home_IBB,away_home_OBP,away_home_SLG,away_home_HR,away_home_R/G,away_home_BB_batting,away_home_SO_batting,away_home_IBB,temp,condition,wind,condition_Clear,condition_Cloudy,condition_Dome,condition_Drizzle,condition_Overcast,condition_Partly Cloudy,condition_Rain,condition_Roof Closed,condition_Snow,condition_Sunny,home_lineup_score,away_lineup_score,home_n_starters,away_n_starters
0,778869,Los Angeles Dodgers,Chicago Cubs,Yoshinobu Yamamoto,Cody Poteet,12,4,2.49,48.0,53.0,201.0,59.0,3.41,0.99,16.88,5.0,5.0,1.0,2.0,0.5,3.0,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,0.317,0.393,170.0,4.54,546.0,1362.0,19.0,75,Sunny,"3 mph, Varies",False,False,False,False,False,False,False,False,False,True,0.7314444444444445,1.134277777777778,18,18
1,779055,New York Yankees,Tampa Bay Rays,Marcus Stroman,Joey Krehbiel,0,4,6.23,27.0,27.0,26.0,16.0,1.63,1.538,,,,,,,,0.333,0.429,237.0,5.03,672.0,1326.0,26.0,0.302,0.366,147.0,3.73,493.0,1485.0,15.0,60,Sunny,"8 mph, In From RF",False,False,False,False,False,False,False,False,False,True,0.787,0.5741111111111111,18,18
2,778780,Boston Red Sox,Northeastern Huskies,Brian Van Belle,,2,5,5.4,5.0,5.0,6.0,0.0,,1.56,,,,,,,,0.319,0.423,194.0,4.64,493.0,1570.0,30.0,,,,,,,,70,Sunny,"12 mph, L To R",False,False,False,False,False,False,False,False,False,True,0.4607058823529412,0.125,17,16
3,778760,Chicago Cubs,Los Angeles Dodgers,Jordan Wicks,Tony Gonsolin,3,7,6.28,10.0,12.0,13.0,1.0,13.0,1.744,5.0,20.0,21.0,38.0,18.0,2.11,1.417,0.317,0.393,170.0,4.54,546.0,1362.0,19.0,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,75,Sunny,"11 mph, L To R",False,False,False,False,False,False,False,False,False,True,0.8822777777777778,0.7138888888888889,18,18
4,778949,Kansas City Royals,Texas Rangers,Daniel Lynch IV,Nathan Eovaldi,2,5,3.06,23.0,24.0,45.0,26.0,1.73,1.36,1.73,25.0,28.0,129.0,21.0,6.14,0.854,0.306,0.403,170.0,4.54,429.0,1161.0,22.0,0.305,0.38,176.0,4.22,490.0,1284.0,20.0,76,Partly Cloudy,"3 mph, Out To LF",False,False,False,False,False,True,False,False,False,False,0.7870555555555555,0.8055555555555556,18,18
5,787940,Arizona Diamondbacks,Colorado Rockies,Corbin Burnes,Bradley Blalock,12,8,2.66,19.0,23.0,63.0,26.0,2.42,1.166,9.36,61.0,61.0,27.0,23.0,1.17,1.841,0.337,0.44,211.0,5.47,569.0,1265.0,17.0,0.304,0.4,179.0,4.21,453.0,1617.0,20.0,74,Sunny,"2 mph, R To L",False,False,False,False,False,False,False,False,False,True,0.722111111111111,0.9316818181818182,18,22
6,788017,San Diego Padres,Seattle Mariners,Ryan Bergert,Jhonathan Díaz,2,5,3.66,31.0,32.0,73.0,35.0,2.09,1.258,0.0,0.0,0.0,1.0,0.0,,0.75,0.324,0.42,190.0,4.69,458.0,1077.0,18.0,0.311,0.376,185.0,4.17,571.0,1625.0,14.0,74,Partly Cloudy,"3 mph, Out To LF",False,False,False,False,False,True,False,False,False,False,0.713,0.3157894736842105,18,19
7,778740,Houston Astros,Washington Nationals,Ryan Gusto,Jake Irvin,6,3,5.67,64.0,67.0,97.0,36.0,2.69,1.475,5.7,114.0,120.0,124.0,62.0,2.0,1.428,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,0.309,0.375,135.0,4.07,456.0,1220.0,11.0,72,Partly Cloudy,"13 mph, In From RF",False,False,False,False,False,True,False,False,False,False,0.38235294117647056,0.6110555555555556,17,18
8,779135,Baltimore Orioles,Pittsburgh Pirates,Albert Suárez,Carmen Mlodzinski,10,5,2.31,3.0,4.0,10.0,2.0,5.0,0.943,3.55,39.0,42.0,89.0,27.0,3.3,1.303,0.315,0.435,235.0,4.85,489.0,1359.0,14.0,0.301,0.371,160.0,4.1,485.0,1506.0,14.0,72,Cloudy,"4 mph, In From CF",False,True,False,False,False,False,False,False,False,False,0.631578947368421,0.9816111111111111,19,18
9,778977,Tampa Bay Rays,Boston Red Sox,Jacob Waguespack,Quinn Priester,6,4,,,,,,,,3.32,58.0,62.0,132.0,50.0,2.64,1.239,0.302,0.366,147.0,3.73,493.0,1485.0,15.0,0.319,0.423,194.0,4.64,493.0,1570.0,30.0,74,Cloudy,"7 mph, R To L",False,True,False,False,False,False,False,False,False,False,0.7907222222222222,0.8666470588235294,18,17
10,779117,Detroit Tigers,Philadelphia Phillies,Kenta Maeda,Nabil Crismatt,6,7,7.88,7.0,8.0,8.0,6.0,1.33,1.875,3.71,14.0,20.0,25.0,9.0,2.78,1.441,0.3,0.385,162.0,4.21,476.0,1461.0,12.0,0.325,0.425,198.0,4.84,515.0,1370.0,21.0,68,Cloudy,"7 mph, R To L",False,True,False,False,False,False,False,False,False,False,0.7543684210526316,0.787,19,18
11,778880,Minnesota Twins,Atlanta Braves,Zebby Matthews,Chris Sale,1,3,5.56,49.0,50.0,88.0,24.0,3.67,1.487,2.58,36.0,38.0,165.0,32.0,5.16,1.066,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,0.309,0.415,213.0,4.35,485.0,1461.0,11.0,76,Partly Cloudy,"15 mph, R To L",False,False,False,False,False,True,False,False,False,False,0.5555555555555556,0.18839130434782608,18,23
12,778963,Toronto Blue Jays,New York Yankees,Easton Lucas,Carlos Rodón,4,6,6.66,18.0,18.0,23.0,12.0,1.92,1.521,3.09,67.0,74.0,203.0,73.0,2.78,1.049,0.313,0.389,156.0,4.14,510.0,1233.0,18.0,0.333,0.429,237.0,5.03,672.0,1326.0,26.0,67,Cloudy,"7 mph, L To R",False,True,False,False,False,False,False,False,False,False,0.6296111111111111,0.9074444444444444,18,18
13,778898,New York Mets,Houston Astros,Clay Holmes,Colton Gordon,2,6,3.53,65.0,74.0,129.0,66.0,1.95,1.304,5.34,51.0,54.0,72.0,19.0,3.79,1.419,0.319,0.415,207.0,4.74,514.0,1382.0,11.0,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,72,Partly Cloudy,"13 mph, In From RF",False,False,False,False,False,True,False,False,False,False,0.7684444444444445,0.46076470588235297,18,17
14,779087,Miami Marlins,St. Louis Cardinals,Valente Bellozo,Erick Fedde,6,7,4.65,42.0,44.0,54.0,23.0,2.35,1.328,5.49,86.0,90.0,83.0,67.0,1.24,1.518,0.3,0.378,150.0,3.93,403.0,1410.0,16.0,0.312,0.392,165.0,4.15,478.0,1318.0,10.0,73,Partly Cloudy,"8 mph, L To R",False,False,False,False,False,True,False,False,False,False,0.7407222222222223,0.4073888888888889,18,18
15,778840,Cincinnati Reds,Cleveland Guardians,Hunter Greene,Triston McKenzie,3,6,2.76,33.0,35.0,132.0,26.0,5.08,0.938,11.12,7.0,7.0,4.0,7.0,0.57,2.471,0.305,0.388,174.0,4.31,496.0,1459.0,7.0,0.307,0.395,185.0,4.4,466.0,1196.0,30.0,75,Sunny,"2 mph, Varies",False,False,False,False,False,False,False,False,False,True,0.5526315789473685,0.7592222222222222,19,18
16,778867,Los Angeles Dodgers,Kansas City Royals,Nick Frasso,Chandler Champlain,11,10,,,,,,,,,,,,,,,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,0.306,0.403,170.0,4.54,429.0,1161.0,22.0,75,Sunny,"2 mph, Calm",False,False,False,False,False,False,False,False,False,True,0.8756111111111111,0.8249444444444445,18,18
17,778944,Texas Rangers,San Francisco Giants,Tyler Mahle,Landen Roupp,6,1,2.18,21.0,21.0,66.0,29.0,2.28,1.131,3.8,45.0,55.0,102.0,45.0,2.27,1.481,0.305,0.38,176.0,4.22,490.0,1284.0,20.0,0.305,0.396,177.0,4.28,492.0,1452.0,15.0,76,Sunny,"5 mph, In From RF",False,False,False,False,False,False,False,False,False,True,0.46489473684210525,0.9073888888888888,19,18
