Name,Age,Team,G,AB,PA,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,OBP,SLG,OPS,ISO,BABIP,BB%,K%,BB/K,GB,FB,LD,IFFB,Pitches,Balls,Strikes,IFH,BU,BUH,GB/FB,LD%,GB%,FB%,HR/FB,wOBA,wRAA,wRC,WAR,wRC+,WPA,RE24,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,Barrels,Barrel%,EV,LA,HardHit%,maxEV,xBA,xSLG,xwOBA
Aaron Judge,32,NYY,158,559,704,180,85,36,1,58,122,144,133,20,171,9,2,0,22,10,0,0.322,0.458,0.701,1.159,0.379,0.367,0.18899999999999997,0.243,0.78,119,180,91,10,2887,1252,1635,10,0,0,0.0066,0.233,0.305,0.462,0.322,0.476,93.8,176,11.3,219,6.17,96.76,0.4,0.349,0.251,0.07200000000000001,0.451,0.47700000000000004,105,0.26899999999999996,96.2,18.9,0.609,117.5,0.31,0.723,0.479
Bobby Witt Jr.,24,KCR,161,636,709,211,123,45,11,32,125,109,57,9,106,8,8,0,4,31,12,0.332,0.389,0.588,0.977,0.256,0.354,0.08,0.15,0.54,199,239,100,26,2602,913,1689,21,0,0,0.0083,0.18600000000000003,0.37,0.444,0.134,0.41,56.8,140,10.4,168,4.99,63.74,0.35100000000000003,0.385,0.264,0.147,0.5,0.353,77,0.14300000000000002,92.7,15.1,0.48100000000000004,116.9,0.315,0.576,0.407
Shohei Ohtani,29,LAD,159,636,731,197,98,38,7,54,134,130,81,10,162,6,5,0,7,59,4,0.31,0.39,0.646,1.036,0.336,0.336,0.111,0.222,0.5,172,193,113,10,2838,1087,1751,10,1,0,0.0089,0.23600000000000002,0.36,0.40399999999999997,0.28,0.431,70.8,156,8.9,180,7.31,81.44,0.424,0.34700000000000003,0.23,0.106,0.451,0.44299999999999995,103,0.214,95.8,16.2,0.595,119.2,0.314,0.66,0.442
Juan Soto,25,NYY,157,576,713,166,90,31,4,41,128,109,129,2,119,4,4,0,10,7,4,0.288,0.419,0.569,0.989,0.281,0.298,0.18100000000000002,0.16699999999999998,1.08,199,164,93,14,2969,1306,1663,6,5,4,0.0121,0.204,0.436,0.36,0.25,0.421,63.4,147,8.2,181,5.98,69.94,0.451,0.34700000000000003,0.20199999999999999,0.126,0.445,0.43,91,0.19699999999999998,94.2,10.7,0.568,115.7,0.316,0.646,0.462
Gunnar Henderson,23,BAL,159,630,719,177,102,31,7,37,118,92,78,1,159,7,4,0,2,21,4,0.281,0.364,0.529,0.893,0.248,0.32,0.10800000000000001,0.221,0.49,222,155,98,12,2903,1137,1766,18,0,0,0.0143,0.20600000000000002,0.467,0.326,0.239,0.381,41.3,125,7.9,154,3.02,34.16,0.392,0.377,0.23199999999999998,0.135,0.43200000000000005,0.434,53,0.11199999999999999,92.8,9.2,0.539,113.1,0.283,0.492,0.374
Francisco Lindor,30,NYM,152,618,689,169,96,39,1,33,107,91,56,0,127,12,3,0,7,29,4,0.273,0.344,0.5,0.844,0.227,0.295,0.081,0.184,0.44,170,213,110,16,2716,978,1738,13,1,1,0.008,0.223,0.345,0.43200000000000005,0.155,0.363,29.2,110,7.8,138,4.44,35.04,0.45299999999999996,0.34,0.20600000000000002,0.12300000000000001,0.51,0.366,66,0.134,90.9,17.0,0.474,112.7,0.283,0.528,0.379
Jarren Duran,27,BOS,160,671,735,191,108,48,14,21,111,75,54,1,160,6,3,1,6,34,7,0.285,0.342,0.492,0.834,0.207,0.345,0.073,0.218,0.34,237,179,93,15,2848,1016,1832,20,6,1,0.0132,0.183,0.466,0.35200000000000004,0.11699999999999999,0.357,27.6,114,6.9,130,2.29,22.19,0.322,0.381,0.297,0.159,0.501,0.34,47,0.091,90.8,9.5,0.43700000000000006,113.9,0.271,0.448,0.338
Jose Ramirez,31,CLE,158,620,682,173,93,39,2,39,114,118,54,12,82,1,6,0,9,41,7,0.279,0.335,0.537,0.872,0.258,0.265,0.079,0.12,0.66,186,266,92,29,2740,977,1763,16,0,0,0.006999999999999999,0.16899999999999998,0.342,0.489,0.147,0.364,29.7,109,6.5,142,3.43,49.36,0.528,0.278,0.195,0.162,0.489,0.349,47,0.086,89.2,19.6,0.396,116.6,0.259,0.453,0.329
Elly De La Cruz,22,CIN,160,618,696,160,89,36,10,25,105,76,69,2,218,6,1,2,12,67,16,0.259,0.339,0.471,0.809,0.212,0.359,0.099,0.313,0.32,184,131,82,7,2754,1046,1708,14,6,2,0.013999999999999999,0.207,0.46299999999999997,0.33,0.191,0.349,21.5,103,6.5,119,-0.37,16.56,0.439,0.342,0.218,0.094,0.536,0.37,51,0.127,91.8,9.7,0.457,114.7,0.24,0.428,0.328
Ketel Marte,30,ARI,136,504,583,147,86,23,2,36,93,95,65,7,106,5,9,0,9,7,1,0.292,0.372,0.56,0.932,0.268,0.299,0.111,0.182,0.61,195,140,70,11,2149,823,1326,10,2,2,0.0139,0.17300000000000001,0.48100000000000004,0.34600000000000003,0.257,0.391,37.9,106,6.3,151,3.26,39.52,0.518,0.31,0.172,0.10800000000000001,0.462,0.43,50,0.12300000000000001,94.1,9.5,0.5329999999999999,117.0,0.294,0.538,0.392
