,home_name,away_name,home_probable_pitcher,away_probable_pitcher,away_score,home_score,home_ERA,home_ER,home_R,home_SO,home_K%,home_AVG,away_ERA,away_ER,away_R,away_SO,away_K%,away_AVG,home_OBP,home_SLG,home_HR,home_R/G,home_BB,home_SO_batting,home_IBB,away_home_OBP,away_home_SLG,away_home_HR,away_home_R/G,away_home_BB,away_home_SO_batting,away_home_IBB
0,San Diego Padres,Los Angeles Dodgers,Joe Musgrove,Gavin Stone,14,1,,,,,,,3.53,55.0,55.0,116.0,20.0,0.248,0.324,0.42,190.0,4.69,458.0,1077.0,18.0,0.335,0.446,233.0,5.2,602.0,1336.0,33.0
1,Boston Red Sox,Northeastern Huskies,Helcris Olivárez,Aiven Cabral,2,7,,,,,,,,,,,,,0.319,0.423,194.0,4.64,493.0,1570.0,30.0,,,,,,,
2,Texas Rangers,Kansas City Royals,Dane Dunning,Daniel Lynch IV,4,5,3.7,71.0,73.0,140.0,19.4,0.25,,,,,,,0.305,0.38,176.0,4.22,490.0,1284.0,20.0,0.306,0.403,170.0,4.54,429.0,1161.0,22.0
3,Chicago Cubs,Chicago White Sox,Jordan Wicks,Jesse Chavez,1,8,,,,,,,,,,,,,0.317,0.393,170.0,4.54,546.0,1362.0,19.0,0.278,0.34,133.0,3.13,395.0,1403.0,8.0
4,Los Angeles Dodgers,San Diego Padres,Landon Knack,Jhony Brito,1,4,,,,,,,,,,,,,0.335,0.446,233.0,5.2,602.0,1336.0,33.0,0.324,0.42,190.0,4.69,458.0,1077.0,18.0
5,Colorado Rockies,Arizona Diamondbacks,Carson Palmquist,Tommy Henry,0,3,,,,,,,,,,,,,0.304,0.4,179.0,4.21,453.0,1617.0,20.0,0.337,0.44,211.0,5.47,569.0,1265.0,17.0
6,Minnesota Twins,Minnesota Golden Gophers,Chris Paddack,Nick Argento,2,13,,,,,,,,,,,,,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,,,,,,,
7,Baltimore Orioles,Boston Red Sox,Corbin Burnes,Garrett Whitlock,3,4,3.39,73.0,77.0,200.0,25.5,0.2,,,,,,,0.315,0.435,235.0,4.85,489.0,1359.0,14.0,0.319,0.423,194.0,4.64,493.0,1570.0,30.0
8,Baltimore Orioles,Boston Red Sox,Corbin Burnes,Garrett Whitlock,3,4,2.92,63.0,76.0,181.0,23.1,0.226,,,,,,,0.315,0.435,235.0,4.85,489.0,1359.0,14.0,0.319,0.423,194.0,4.64,493.0,1570.0,30.0
9,Minnesota Twins,Pittsburgh Pirates,Louis Varland,Bailey Falter,3,5,,,,,,,4.43,70.0,72.0,97.0,16.5,0.26,0.315,0.411,183.0,4.58,473.0,1306.0,15.0,0.301,0.371,160.0,4.1,485.0,1506.0,14.0
10,Tampa Bay Rays,Atlanta Braves,Nathan Wiles,Spencer Strider,6,5,,,,,,,3.86,80.0,85.0,281.0,36.8,0.21,0.302,0.366,147.0,3.73,493.0,1485.0,15.0,0.309,0.415,213.0,4.35,485.0,1461.0,11.0
11,St. Louis Cardinals,Miami Marlins,Matthew Liberatore,Ryan Weathers,9,8,,,,,,,,,,,,,0.312,0.392,165.0,4.15,478.0,1318.0,10.0,0.3,0.378,150.0,3.93,403.0,1410.0,16.0
12,Detroit Tigers,New York Yankees,Reese Olson,Luis Gil,22,10,,,,,,,3.5,59.0,60.0,171.0,26.8,0.189,0.3,0.385,162.0,4.21,476.0,1461.0,12.0,0.333,0.429,237.0,5.03,672.0,1326.0,26.0
13,Toronto Blue Jays,Philadelphia Phillies,Chad Dallas,Kolby Allard,14,13,,,,,,,,,,,,,0.313,0.389,156.0,4.14,510.0,1233.0,18.0,0.325,0.425,198.0,4.84,515.0,1370.0,21.0
14,New York Mets,St. Louis Cardinals,Tylor Megill,Zack Thompson,10,5,4.7,66.0,76.0,105.0,18.5,0.282,,,,,,,0.319,0.415,207.0,4.74,514.0,1382.0,11.0,0.312,0.392,165.0,4.15,478.0,1318.0,10.0
15,Cleveland Guardians,Cincinnati Reds,Carlos Carrasco,Carson Spiers,4,0,,,,,,,,,,,,,0.307,0.395,185.0,4.4,466.0,1196.0,30.0,0.305,0.388,174.0,4.31,496.0,1459.0,7.0
16,Oakland Athletics,Colorado Rockies,Joe Boyle,Peter Lambert,5,1,,,,,,,,,,,,,0.301,0.393,196.0,3.97,493.0,1502.0,11.0,0.304,0.4,179.0,4.21,453.0,1617.0,20.0
17,San Francisco Giants,Chicago Cubs,Logan Webb,Drew Smyly,8,4,3.47,79.0,83.0,172.0,20.5,0.258,5.0,79.0,89.0,141.0,22.5,0.265,0.305,0.396,177.0,4.28,492.0,1452.0,15.0,0.317,0.393,170.0,4.54,546.0,1362.0,19.0
18,San Francisco Giants,Chicago Cubs,Logan Webb,Drew Smyly,8,4,3.25,78.0,83.0,194.0,22.8,0.248,5.0,79.0,89.0,141.0,22.5,0.265,0.305,0.396,177.0,4.28,492.0,1452.0,15.0,0.317,0.393,170.0,4.54,546.0,1362.0,19.0
19,Kansas City Royals,Texas Rangers,Alec Marsh,Nathan Eovaldi,4,5,4.53,65.0,70.0,123.0,22.4,0.249,3.63,58.0,59.0,132.0,22.9,0.225,0.306,0.403,170.0,4.54,429.0,1161.0,22.0,0.305,0.38,176.0,4.22,490.0,1284.0,20.0
20,Kansas City Royals,Texas Rangers,Alec Marsh,Nathan Eovaldi,4,5,4.53,65.0,70.0,123.0,22.4,0.249,3.8,72.0,74.0,166.0,23.9,0.229,0.306,0.403,170.0,4.54,429.0,1161.0,22.0,0.305,0.38,176.0,4.22,490.0,1284.0,20.0
21,Chicago White Sox,Seattle Mariners,Justin Anderson,Casey Lawrence,7,8,,,,,,,,,,,,,0.278,0.34,133.0,3.13,395.0,1403.0,8.0,0.311,0.376,185.0,4.17,571.0,1625.0,14.0
22,Arizona Diamondbacks,Colorado Rockies,Ryne Nelson,Noah Davis,2,6,5.31,85.0,87.0,96.0,15.5,0.284,,,,,,,0.337,0.44,211.0,5.47,569.0,1265.0,17.0,0.304,0.4,179.0,4.21,453.0,1617.0,20.0
23,Arizona Diamondbacks,Colorado Rockies,Ryne Nelson,Noah Davis,2,6,4.24,71.0,73.0,126.0,20.0,0.266,,,,,,,0.337,0.44,211.0,5.47,569.0,1265.0,17.0,0.304,0.4,179.0,4.21,453.0,1617.0,20.0
24,Los Angeles Angels,Los Angeles Dodgers,Victor Mederos,Tyler Glasnow,7,7,,,,,,,3.49,52.0,53.0,168.0,32.2,0.19,0.301,0.369,165.0,3.92,482.0,1416.0,4.0,0.335,0.446,233.0,5.2,602.0,1336.0,33.0
25,San Diego Padres,Milwaukee Brewers,Pedro Avila,Rob Zastryzny,11,7,,,,,,,,,,,,,0.324,0.42,190.0,4.69,458.0,1077.0,18.0,0.326,0.403,177.0,4.8,597.0,1459.0,19.0
26,Washington Nationals,Houston Astros,Patrick Corbin,Ronel Blanco,7,4,5.2,104.0,113.0,124.0,15.7,0.293,2.8,52.0,56.0,166.0,24.6,0.19,0.309,0.375,135.0,4.07,456.0,1220.0,11.0,0.322,0.418,190.0,4.6,448.0,1176.0,28.0
27,Washington Nationals,Houston Astros,Patrick Corbin,Ronel Blanco,7,4,5.62,109.0,114.0,139.0,18.2,0.298,2.8,52.0,56.0,166.0,24.6,0.19,0.309,0.375,135.0,4.07,456.0,1220.0,11.0,0.322,0.418,190.0,4.6,448.0,1176.0,28.0
28,Pittsburgh Pirates,Baltimore Orioles,Mitch Keller,Cole Irvin,2,0,4.21,91.0,97.0,210.0,25.5,0.249,,,,,,,0.301,0.371,160.0,4.1,485.0,1506.0,14.0,0.315,0.435,235.0,4.85,489.0,1359.0,14.0
29,Pittsburgh Pirates,Baltimore Orioles,Mitch Keller,Cole Irvin,2,0,4.25,84.0,90.0,166.0,21.5,0.261,,,,,,,0.301,0.371,160.0,4.1,485.0,1506.0,14.0,0.315,0.435,235.0,4.85,489.0,1359.0,14.0
30,Houston Astros,St. Louis Cardinals,Hunter Brown,Drew Rom,3,0,5.09,88.0,94.0,178.0,26.8,0.262,,,,,,,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,0.312,0.392,165.0,4.15,478.0,1318.0,10.0
31,Houston Astros,St. Louis Cardinals,Hunter Brown,Drew Rom,3,0,3.49,66.0,71.0,179.0,25.1,0.242,,,,,,,0.322,0.418,190.0,4.6,448.0,1176.0,28.0,0.312,0.392,165.0,4.15,478.0,1318.0,10.0
