game_id,game_datetime,game_date,game_type,status,away_name,home_name,away_id,home_id,doubleheader,game_num,home_probable_pitcher,away_probable_pitcher,home_pitcher_note,away_pitcher_note,away_score,home_score,current_inning,inning_state,venue_id,venue_name,national_broadcasts,series_status,winning_team,losing_team,winning_pitcher,losing_pitcher,save_pitcher,summary,losing_Team
778869,2025-02-20T20:05:00Z,2025-02-20,S,Final,Chicago Cubs,Los Angeles Dodgers,112,119,N,1,Yoshinobu Yamamoto,Cody Poteet,,,12,4,9,Bottom,3809,Camelback Ranch,['MLBN (out-of-market only)'],CHC leads 1-0,Chicago Cubs,Los Angeles Dodgers,Zac Leigh,Justin Jarvis,,2025-02-20 - Chicago Cubs (12) @ Los Angeles Dodgers (4) (Final),
779055,2025-02-21T18:05:00Z,2025-02-21,S,Final,Tampa Bay Rays,New York Yankees,139,147,N,1,Marcus Stroman,Joey Krehbiel,,,0,4,9,Top,2523,George M. Steinbrenner Field,['MLBN (out-of-market only)'],NYY wins Spring,New York Yankees,Tampa Bay Rays,Marcus Stroman,Joey Krehbiel,,2025-02-21 - Tampa Bay Rays (0) @ New York Yankees (4) (Final),
778780,2025-02-21T18:05:00Z,2025-02-21,E,Final,Northeastern Huskies,Boston Red Sox,343,111,N,1,Brian Van Belle,,,,2,5,7,Bottom,4309,JetBlue Park,[],,Boston Red Sox,Northeastern Huskies,Jacob Webb,Andrew Basel,Hobie Harris,2025-02-21 - Northeastern Huskies (2) @ Boston Red Sox (5) (Final),
778760,2025-02-21T20:05:00Z,2025-02-21,S,Final,Los Angeles Dodgers,Chicago Cubs,119,112,N,1,Jordan Wicks,Tony Gonsolin,,,3,7,9,Top,4629,Sloan Park,[],CHC wins 2-0,Chicago Cubs,Los Angeles Dodgers,Caleb Kilian,Luis García,,2025-02-21 - Los Angeles Dodgers (3) @ Chicago Cubs (7) (Final),
778949,2025-02-21T20:05:00Z,2025-02-21,S,Final,Texas Rangers,Kansas City Royals,140,118,N,1,Daniel Lynch IV,Nathan Eovaldi,,,2,5,9,Top,2603,Surprise Stadium,[],KC wins Spring,Kansas City Royals,Texas Rangers,Austin Cox,Nolan Hoffman,Anthony Simonelli,2025-02-21 - Texas Rangers (2) @ Kansas City Royals (5) (Final),
787940,2025-02-21T20:10:00Z,2025-02-21,S,Final,Colorado Rockies,Arizona Diamondbacks,115,109,N,1,Corbin Burnes,Bradley Blalock,,,12,8,9,Bottom,4249,Salt River Fields at Talking Stick,[],COL leads 1-0,Colorado Rockies,Arizona Diamondbacks,Dugan Darnell,Jake Rice,,2025-02-21 - Colorado Rockies (12) @ Arizona Diamondbacks (8) (Final),
788017,2025-02-21T20:10:00Z,2025-02-21,S,Final,Seattle Mariners,San Diego Padres,136,135,N,1,Ryan Bergert,Jhonathan Díaz,,,2,5,9,Top,2530,Peoria Stadium,[],SD wins Spring,San Diego Padres,Seattle Mariners,Ryan Bergert,Jhonathan Díaz,,2025-02-21 - Seattle Mariners (2) @ San Diego Padres (5) (Final),
778740,2025-02-22T18:05:00Z,2025-02-22,S,Final,Washington Nationals,Houston Astros,120,117,N,1,Ryan Gusto,Jake Irvin,,,6,3,9,Bottom,5000,CACTI Park of the Palm Beaches,[],WSH wins Spring,Washington Nationals,Houston Astros,Tyler Stuart,Joey Mancini,Marquis Grissom Jr.,2025-02-22 - Washington Nationals (6) @ Houston Astros (3) (Final),
779135,2025-02-22T18:05:00Z,2025-02-22,S,Final,Pittsburgh Pirates,Baltimore Orioles,134,110,N,1,Albert Suárez,Carmen Mlodzinski,,,10,5,9,Bottom,2508,Ed Smith Stadium,['MLBN (out-of-market only)'],PIT wins Spring,Pittsburgh Pirates,Baltimore Orioles,Tanner Rainey,Corbin Martin,,2025-02-22 - Pittsburgh Pirates (10) @ Baltimore Orioles (5) (Final),
778977,2025-02-22T18:05:00Z,2025-02-22,S,Final,Boston Red Sox,Tampa Bay Rays,111,139,N,1,Jacob Waguespack,Quinn Priester,,,6,4,9,Bottom,2534,Charlotte Sports Park,[],BOS wins Spring,Boston Red Sox,Tampa Bay Rays,Shane Drohan,Jack Hartman,,2025-02-22 - Boston Red Sox (6) @ Tampa Bay Rays (4) (Final),
779117,2025-02-22T18:05:00Z,2025-02-22,S,Final,Philadelphia Phillies,Detroit Tigers,143,116,N,1,Kenta Maeda,Nabil Crismatt,,,6,7,9,Bottom,2511,Publix Field at Joker Marchant Stadium,[],DET wins Spring,Detroit Tigers,Philadelphia Phillies,Wilkel Hernandez,Wesley Moore,,2025-02-22 - Philadelphia Phillies (6) @ Detroit Tigers (7) (Final),
