game_id,temp,condition,wind
746484,82,Partly Cloudy,"20 mph, R To L"
746803,77,Partly Cloudy,"16 mph, R To L"
745998,73,Roof Closed,"0 mph, None"
747131,73,Partly Cloudy,"10 mph, L To R"
745425,66,Clear,"8 mph, L To R"
745350,58,Partly Cloudy,"20 mph, Out To CF"
746245,67,Clear,"9 mph, R To L"
745266,49,Roof Closed,"10 mph, Calm"
747045,78,Sunny,"2 mph, Out To CF"
747125,76,Partly Cloudy,"10 mph, L To R"
744947,68,Roof Closed,"0 mph, None"
746483,70,Overcast,"10 mph, In From RF"
745834,67,Sunny,"2 mph, Out To CF"
746077,72,Roof Closed,"0 mph, None"
746805,69,Cloudy,"5 mph, R To L"
746001,65,Roof Closed,"0 mph, None"
745022,74,Roof Closed,"0 mph, None"
746561,82,Sunny,"3 mph, Out To LF"
745349,63,Sunny,"14 mph, Varies"
746237,73,Sunny,"6 mph, Out To CF"
745265,54,Roof Closed,"0 mph, Calm"
745428,66,Sunny,"6 mph, L To R"
746967,66,Cloudy,"4 mph, Out To CF"
747046,85,Clear,"7 mph, Out To LF"
746074,80,Partly Cloudy,"11 mph, In From LF"
744945,68,Roof Closed,"0 mph, None"
745832,70,Cloudy,"8 mph, Out To LF"
746804,69,Cloudy,"13 mph, R To L"
745999,67,Roof Closed,"0 mph, None"
746236,71,Clear,"7 mph, Out To CF"
747211,89,Clear,"2 mph, Out To RF"
745672,63,Clear,"13 mph, Out To RF"
745427,64,Clear,"7 mph, L To R"
745263,47,Roof Closed,"0 mph, Calm"
746481,73,Clear,"14 mph, Out To LF"
746477,72,Sunny,"13 mph, Out To LF"
746481,73,Clear,"14 mph, Out To LF"
747047,86,Cloudy,"6 mph, Out To CF"
746073,72,Roof Closed,"0 mph, None"
744942,68,Roof Closed,"0 mph, None"
745831,56,Cloudy,"5 mph, In From RF"
746968,52,Partly Cloudy,"2 mph, Out To LF"
746806,70,Clear,"8 mph, L To R"
745997,67,Roof Closed,"0 mph, None"
745018,74,Roof Closed,"0 mph, Calm"
746398,73,Roof Closed,"0 mph, None"
746239,68,Clear,"10 mph, Out To CF"
747210,86,Clear,"8 mph, In From LF"
745673,64,Clear,"13 mph, Out To RF"
745426,63,Cloudy,"8 mph, L To R"
745260,53,Partly Cloudy,"6 mph, L To R"
746478,75,Partly Cloudy,"17 mph, In From RF"
745996,68,Sunny,"18 mph, In From CF"
746800,75,Sunny,"17 mph, Out To CF"
744939,68,Roof Closed,"0 mph, None"
745670,71,Sunny,"7 mph, Out To RF"
745261,53,Partly Cloudy,"0 mph, Calm"
746238,71,Sunny,"6 mph, Out To RF"
745423,67,Partly Cloudy,"10 mph, L To R"
747048,81,Partly Cloudy,"4 mph, In From LF"
746072,72,Roof Closed,"0 mph, None"
745829,60,Clear,"10 mph, Out To LF"
746966,51,Clear,"4 mph, In From RF"
745023,74,Roof Closed,"0 mph, None"
746399,73,Roof Closed,"0 mph, None"
747207,88,Partly Cloudy,"9 mph, L To R"
746070,72,Roof Closed,"0 mph, None"
747044,89,Sunny,"5 mph, Out To RF"
745830,71,Sunny,"7 mph, Out To LF"
746969,66,Partly Cloudy,"4 mph, In From RF"
745021,74,Roof Closed,"0 mph, Calm"
746403,73,Roof Closed,"0 mph, None"
746890,61,Partly Cloudy,"9 mph, In From CF"
746721,67,Overcast,"6 mph, In From RF"
745510,74,Cloudy,"10 mph, Out To CF"
745589,58,Cloudy,"9 mph, In From RF"
744868,64,Partly Cloudy,"9 mph, R To L"
745101,72,Dome,"0 mph, None"
745756,57,Clear,"9 mph, Out To LF"
746645,67,Overcast,"4 mph, Out To CF"
746318,74,Partly Cloudy,"8 mph, R To L"
746402,73,Roof Closed,"0 mph, None"
745914,69,Cloudy,"4 mph, Out To LF"
745187,75,Partly Cloudy,"5 mph, In From LF"
747208,91,Clear,"4 mph, R To L"
745665,61,Clear,"18 mph, Out To RF"
746152,64,Clear,"9 mph, Out To RF"
745750,61,Partly Cloudy,"10 mph, In From LF"
745911,52,Overcast,"9 mph, Out To RF"
745183,81,Sunny,"7 mph, R To L"
746884,71,Cloudy,"8 mph, In From RF"
745511,60,Cloudy,"9 mph, In From CF"
744862,53,Drizzle,"6 mph, In From RF"
745666,56,Cloudy,"12 mph, Out To RF"
745583,51,Rain,"10 mph, R To L"
746644,73,Overcast,"2 mph, R To L"
746720,74,Cloudy,"1 mph, Varies"
746311,65,Cloudy,"11 mph, L To R"
746394,73,Roof Closed,"0 mph, None"
745100,72,Dome,"0 mph, None"
