game_id,temp,condition,wind
746192,82,Clear,"8 mph, Out To CF"
747165,78,Roof Closed,"0 mph, None"
745383,77,Clear,"8 mph, L To R"
745300,62,Partly Cloudy,"14 mph, Varies"
747004,85,Clear,"8 mph, In From RF"
746601,77,Clear,"8 mph, R To L"
746435,81,Clear,"7 mph, In From LF"
746673,82,Partly Cloudy,"5 mph, L To R"
745548,82,Partly Cloudy,"11 mph, In From LF"
745055,72,Dome,"0 mph, None"
745788,79,Clear,"3 mph, In From LF"
746924,81,Partly Cloudy,"4 mph, In From LF"
745867,81,Partly Cloudy,"8 mph, Out To LF"
746757,80,Clear,"7 mph, In From LF"
745954,80,Clear,"3 mph, L To R"
746187,81,Clear,"9 mph, R To L"
747160,78,Roof Closed,"0 mph, None"
745382,77,Clear,"7 mph, L To R"
745302,65,Clear,"14 mph, Out To CF"
745869,77,Partly Cloudy,"10 mph, R To L"
747163,76,Roof Closed,"0 mph, None"
745381,76,Sunny,"9 mph, Out To RF"
746919,77,Cloudy,"4 mph, Out To LF"
747000,83,Partly Cloudy,"4 mph, In From LF"
746598,78,Clear,"12 mph, R To L"
746436,82,Clear,"6 mph, L To R"
746677,85,Partly Cloudy,"5 mph, L To R"
745544,84,Partly Cloudy,"8 mph, In From CF"
745053,72,Dome,"0 mph, None"
745790,82,Clear,"4 mph, In From LF"
746759,79,Partly Cloudy,"8 mph, In From LF"
745951,74,Partly Cloudy,"8 mph, L To R"
746188,82,Clear,"8 mph, Out To CF"
745301,65,Clear,"11 mph, Varies"
745783,85,Sunny,"4 mph, L To R"
746437,80,Sunny,"8 mph, In From CF"
745950,77,Roof Closed,"0 mph, None"
745298,67,Sunny,"14 mph, Out To CF"
747002,86,Clear,"3 mph, In From CF"
745545,84,Partly Cloudy,"6 mph, In From LF"
744980,74,Roof Closed,"0 mph, None"
746843,81,Partly Cloudy,"8 mph, Out To CF"
746674,80,Partly Cloudy,"9 mph, R To L"
745462,79,Partly Cloudy,"9 mph, Out To LF"
745542,87,Partly Cloudy,"8 mph, Out To CF"
746438,80,Partly Cloudy,"10 mph, In From RF"
745054,72,Dome,"0 mph, None"
747001,83,Partly Cloudy,"9 mph, Out To LF"
745784,79,Clear,"9 mph, Out To LF"
744974,74,Roof Closed,"0 mph, None"
746357,73,Roof Closed,"0 mph, None"
745949,79,Roof Closed,"0 mph, None"
745144,86,Clear,"8 mph, Out To RF"
746518,91,Clear,"5 mph, Out To CF"
746189,81,Partly Cloudy,"9 mph, R To L"
745463,83,Cloudy,"9 mph, Out To LF"
746434,76,Cloudy,"10 mph, R To L"
746841,78,Cloudy,"9 mph, In From CF"
745049,72,Dome,"0 mph, None"
745785,79,Cloudy,"10 mph, Out To LF"
745537,78,Cloudy,"9 mph, Out To CF"
746675,84,Overcast,"11 mph, Out To LF"
746997,75,Overcast,"5 mph, Out To LF"
744977,74,Roof Closed,"0 mph, None"
745626,73,Partly Cloudy,"14 mph, Out To RF"
746355,73,Roof Closed,"0 mph, None"
745140,86,Clear,"13 mph, Out To RF"
745952,79,Roof Closed,"0 mph, None"
746515,95,Partly Cloudy,"2 mph, Out To LF"
746190,76,Clear,"8 mph, R To L"
745786,76,Cloudy,"12 mph, Out To LF"
746999,81,Cloudy,"4 mph, Out To LF"
745464,78,Partly Cloudy,"9 mph, Out To LF"
745539,83,Partly Cloudy,"6 mph, Out To CF"
746676,79,Partly Cloudy,"6 mph, Out To LF"
745051,72,Dome,"0 mph, None"
746359,73,Roof Closed,"0 mph, None"
745948,76,Roof Closed,"10 mph, In From LF"
745139,82,Partly Cloudy,"11 mph, Out To CF"
746838,74,Cloudy,"15 mph, L To R"
744975,74,Roof Closed,"0 mph, None"
746516,92,Sunny,"4 mph, R To L"
745621,73,Partly Cloudy,"8 mph, Out To RF"
746186,83,Sunny,"9 mph, Out To LF"
746431,73,Cloudy,"5 mph, Out To CF"
746027,72,Roof Closed,"0 mph, None"
744898,65,Clear,"11 mph, Out To LF"
745780,76,Cloudy,"8 mph, L To R"
744976,74,Roof Closed,"0 mph, Calm"
746351,73,Roof Closed,"0 mph, None"
746270,84,Clear,"12 mph, In From LF"
745620,70,Clear,"11 mph, Varies"
745380,77,Clear,"10 mph, L To R"
745294,68,Clear,"18 mph, Out To CF"
746109,80,Clear,"5 mph, Out To RF"
746029,72,Roof Closed,"0 mph, None"
744814,71,Partly Cloudy,"10 mph, In From LF"
745707,69,Partly Cloudy,"10 mph, Out To RF"
744896,68,Roof Closed,"0 mph, None"
745782,70,Clear,"10 mph, L To R"
