Layers,Epochs_Trained,Best_Epoch,Best_Val_Accuracy
"[16, 8, 4]",20,16,0.9718
"[32, 16, 8]",20,10,0.9718
"[16, 8]",80,24,0.9624
"[16, 8]",40,19,0.9624
"[16, 8, 4]",40,15,0.9624
"[16, 8, 4]",30,19,0.9624
"[16, 8, 4]",80,22,0.9624
"[16, 8]",20,17,0.9624
"[32, 16, 8]",70,13,0.9624
"[32, 16, 8]",60,11,0.9624
"[32, 16, 8]",30,26,0.9624
"[16, 8, 4]",70,22,0.9624
"[16, 8]",50,28,0.9624
"[32, 16]",80,11,0.9624
"[32, 16]",70,13,0.9624
"[32, 16]",60,18,0.9624
"[16, 8]",60,25,0.9624
"[32, 16]",30,23,0.9624
"[16, 8, 4]",50,41,0.9624
"[32, 16, 8]",40,24,0.96
"[16, 8]",70,15,0.96
"[32, 16]",10,9,0.9576
"[16, 8, 4]",60,22,0.9553
"[32, 16, 8]",10,10,0.9553
"[32, 16, 8]",80,10,0.9459
"[32, 16]",20,11,0.9247
"[16, 8]",30,12,0.9247
"[32, 16, 8]",50,11,0.9247
"[32, 16]",50,16,0.9247
"[32, 16]",40,10,0.9247
"[16, 8]",10,10,0.8847
"[16, 8, 4]",10,1,0.5929
